@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
2522326,179.05,-0.26,-92.39,0.11,0.17,0.00,102676.17,35.82,-0.12,0.51,1.04
2532563,179.05,-0.25,-92.40,0.13,0.20,-0.00,102675.73,35.82,-0.18,0.34,0.60
2542794,179.03,-0.25,-92.36,0.12,0.22,-0.00,102676.47,35.82,-0.54,0.54,0.71
2553034,179.03,-0.24,-92.35,0.13,0.19,0.00,102678.25,35.82,-0.23,0.50,0.92
2563259,179.03,-0.24,-92.31,0.14,0.19,-0.03,102676.80,35.82,-0.24,0.49,0.81
2573498,179.02,-0.23,-92.30,0.14,0.18,0.00,102676.95,35.82,-0.24,0.57,1.10
2583741,179.02,-0.24,-92.26,0.12,0.18,0.03,102675.80,35.82,-0.44,0.50,1.04
2593973,179.02,-0.22,-92.32,0.12,0.18,0.04,102675.20,35.82,-0.28,0.69,0.91
2605307,179.03,-0.21,-92.32,0.15,0.17,0.01,102675.52,35.82,-0.02,0.53,0.89
2615548,179.03,-0.21,-92.32,0.14,0.17,-0.02,102677.02,35.82,-0.04,0.38,0.49
2625557,179.04,-0.21,-92.32,0.13,0.14,-0.03,102677.69,35.83,-0.24,0.35,0.92
2635731,179.05,-0.20,-92.32,0.13,0.15,-0.01,102678.42,35.83,-0.28,0.38,0.81
2645739,179.04,-0.21,-92.32,0.10,0.17,-0.01,102677.91,35.82,-0.13,0.58,0.79
2655898,179.05,-0.21,-92.33,0.11,0.16,0.04,102677.83,35.83,-0.26,0.47,1.33
2666133,179.05,-0.21,-92.35,0.10,0.17,-0.01,102676.49,35.83,-0.29,0.48,1.05
2676372,179.05,-0.21,-92.34,0.09,0.17,-0.03,102679.73,35.83,-0.25,1.11,0.56
2686589,179.05,-0.22,-92.32,0.09,0.16,0.06,102678.42,35.83,-0.40,0.77,0.74
2696825,179.06,-0.24,-92.24,0.08,0.16,0.04,102677.66,35.83,-0.59,0.62,0.69
2708159,179.06,-0.25,-92.16,0.10,0.16,0.03,102678.92,35.83,-0.31,0.71,0.73
2718330,179.06,-0.26,-92.16,0.10,0.18,0.03,102679.34,35.83,-0.30,0.42,0.77
2728564,179.05,-0.25,-92.20,0.10,0.20,-0.03,102680.17,35.83,-0.41,0.51,0.51
2738795,179.05,-0.25,-92.23,0.11,0.19,0.00,102679.25,35.83,-0.24,0.49,1.12
2749014,179.05,-0.25,-92.22,0.10,0.19,-0.01,102680.88,35.83,-0.24,0.61,0.73
2759249,179.05,-0.25,-92.21,0.10,0.17,0.03,102679.26,35.83,-0.36,0.51,1.01
2769489,179.05,-0.25,-92.23,0.12,0.16,-0.00,102679.09,35.83,-0.03,0.49,0.55
2779711,179.05,-0.24,-92.23,0.13,0.17,-0.02,102678.95,35.83,0.03,0.49,0.62
2789949,179.05,-0.24,-92.18,0.10,0.19,0.03,102678.37,35.83,-0.23,0.45,0.75
2800187,179.05,-0.24,-92.20,0.11,0.18,0.03,102676.63,35.84,-0.36,0.64,0.89
2811524,179.05,-0.23,-92.21,0.14,0.18,-0.01,102677.63,35.84,-0.19,0.44,0.76
2821750,179.05,-0.22,-92.20,0.14,0.16,-0.00,102678.37,35.84,-0.16,0.32,0.70
2831988,179.05,-0.22,-92.22,0.10,0.18,0.00,102680.23,35.84,-0.23,0.61,0.69
2842207,179.04,-0.21,-92.28,0.09,0.20,0.06,102679.31,35.84,-0.01,0.55,0.72
2852433,179.03,-0.21,-92.27,0.12,0.19,0.06,102679.12,35.84,-0.27,0.50,1.20
2862673,179.03,-0.20,-92.33,0.11,0.19,-0.01,102678.47,35.84,-0.13,0.37,0.94
2872899,179.03,-0.20,-92.34,0.12,0.17,0.01,102679.03,35.84,-0.42,0.58,0.46
2883139,179.03,-0.20,-92.33,0.11,0.16,0.00,102678.92,35.84,-0.40,0.55,0.99
2893378,179.03,-0.21,-92.32,0.10,0.17,-0.01,102677.58,35.84,-0.47,0.70,0.59
2903603,179.03,-0.20,-92.38,0.11,0.17,-0.01,102678.34,35.84,-0.05,0.37,0.78
